AgentID,AgentLabel,SuperSpreader,SuperFriend,GeneralInfluencer,EigenvectorCentrality,
1497044033583345667,Catalyst220224,0.017,0,0.094,0.016,
1269979163726938114,Fernand39170590,0.163,0,0.415,0.166,
236393259,AceAcedillo,0.011,0,0.022,0.002,
17644834,BusinessMirror,0.005,0,0.004,0,
392459500,aaaformula,0.005,0,0.018,7.849e-04,
2834794711,david13pang,0.011,0,0.040,0.004,
151517948,CubeKakuzai,0.005,0,0.007,0.002,
49972972,mila_d_aguilar,0.005,0,0.008,7.849e-04,
1316354264726339584,KoichiMizuschi2,0.005,0,0.007,0.002,
1021928947,hwfranzjr,0.011,0,0.022,0.002,
3179101598,yelswrld,0.011,0,0.022,0.002,
1403526062194139136,GalagaranArnold,0.017,0,0.028,0.002,
302964768,wtaka007,0.024,0,0.065,0.026,
817774796440272896,JudeAsare2,0.005,0,0.012,0.001,
232635988,angelus_0923,0.024,0,0.026,0.002,
1416453858566578185,MChelseagirl,0.066,0,0.214,0.058,
1197186453677019136,Eda01718847,0.005,0,0.018,7.849e-04,
1960017126,kaoruo00216,0.005,0,0.007,0.002,
1461527223941304324,Rexleano1,0.011,0,0.021,0.002,
1303300617805332482,DarleneTimbol,0.005,0,0.018,7.849e-04,
1441952749587894280,rose_howdy,0.024,0,0.069,0.014,
1508751607823237125,SanjuSa46005906,0.090,0,0.225,0.084,
1425636844205641733,MVanhalesing,0.017,0,0.101,0.009,
828033366712688640,MyriadCsPhantom,0.011,0,0.034,0.010,
1213239566510907392,mamiahipo17,0.005,0,0.007,0.002,
1505370236429946880,jJqfUKaGtu4QQx8,0.005,0,0.007,0.002,
1316691345864445953,waraioWASUREZU,0.005,0,0.007,0.002,
2188654916,defined_un_sort,0.030,0,0.120,0.019,
3241735411,Sylveon_Ads,0.005,0,0.007,0.002,
1551794143,ppnn7221,0.005,0,0.007,0.002,
323430890,JayBirdOne,0.005,0,0.007,0.002,
1485201349654597632,marekol43191641,0.005,0,0.007,0.002,
1373173055313248256,shigurenakako,0.005,0,0.007,0.002,
1331769324,DonnaEBecton,0.036,0,0.106,0.038,
1482602428189061120,lupodark40,0.005,0,0.007,0.002,
827343025470738433,1stMAW_Marines,0.127,0,0.121,0.050,
1017578055072604160,jmsdf_pao_eng,0.526,1,0.297,0.067,
108408303,nel_anzora,0.005,0,0.027,0.002,
181302590,tdhoanh,0.005,0,0.012,8.463e-04,
1331181553834070017,Koronuru,0.078,0,0.222,0.087,
1292309934105751552,Sakura_ebiii,0.005,0,0.050,0.006,
1404615301,jose22780,0.005,0,0.017,0.006,
1162944823457792003,1JZGTE2000,0.102,0,0.294,0.086,
754661367651504128,T_AH19,0.030,0,0.119,0.019,
373213146,twistarter,0.005,0,0.012,8.463e-04,
1021597353910796294,defense_sloot,0.054,0,0.148,0.065,
378280914,StriebRoman,0.078,0,0.186,0.062,
1490402814501269504,vassellia_bond,0.005,0,0.014,0.006,
982967013583740934,Jf3EHs0go4hikke,0.005,0,0.016,0.006,
1586496223,spanishdrone,0.005,0,0.016,0.006,
69141716,praetorian0,0.005,0,0.016,0.006,
2725272744,OnoMilo06,0.042,0,0.109,0.047,
918912528461258753,davidnmccrea,0.005,0,0.027,0.002,
129609017,FighterJets916,0.030,0,0.101,0.036,
370237517,gerciksinan,0.005,0,0.016,0.006,
1282738369991258113,RamonSyllva29,0.024,0,0.072,0.030,
34863914,usna06marine,0.005,0,0.016,0.006,
2323385174,Fandango831,0.005,0,0.016,0.006,
85359060,jrlosinger,0.011,0,0.040,0.016,
3660328812,douglaschongys,0.030,0,0.097,0.040,
730178982872780800,JediHaloMan21,0.024,0,0.109,0.027,
97338803,b503yukikaze,0.005,0,0.017,0.006,
3114773927,WarshipsIFR,0.005,0,0.019,0.006,
96946717,saravanangee,0.011,0,0.035,0.013,
1404118248728244227,TeresaM19445404,0.005,0,0.018,0.006,
1424568645573697537,tester88910960,0.011,0,0.032,0.013,
19805682,zachvat,0.054,0,0.152,0.064,
1236968484065529857,TS_EF8046,0.005,0,0.012,8.463e-04,
1170689281142272001,BL1ND3RS0FF,0.024,0,0.086,0.021,
