Node-Id,Node-Title,inDegreeCentrality-1-Balikatan_2022_Reduced,inDegreeCentrality-1-Balikatan_2022_Reduced-unscaled,inDegreeCentrality-2-Balikatan_2022_Reduced,inDegreeCentrality-2-Balikatan_2022_Reduced-unscaled,twitter-actualInfluencer-1-Balikatan_2022_Reduced,twitter-actualInfluencer-1-Balikatan_2022_Reduced-unscaled,twitter-averageMentionsPerTweet-1-Balikatan_2022_Reduced,twitter-averageMentionsPerTweet-1-Balikatan_2022_Reduced-unscaled,twitter-mostMentioned-1-Balikatan_2022_Reduced,twitter-mostMentioned-1-Balikatan_2022_Reduced-unscaled,twitter-numberOfFollowers-1-Balikatan_2022_Reduced,twitter-numberOfFollowers-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConnectors-1-Balikatan_2022_Reduced,twitter-potentialConnectors-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConsensusLeaders-1-Balikatan_2022_Reduced,twitter-potentialConsensusLeaders-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConsensusLeaders-2-Balikatan_2022_Reduced,twitter-potentialConsensusLeaders-2-Balikatan_2022_Reduced-unscaled,twitter-potentialReach-1-Balikatan_2022_Reduced,twitter-potentialReach-1-Balikatan_2022_Reduced-unscaled,twitter-trustedSource-1-Balikatan_2022_Reduced,twitter-trustedSource-1-Balikatan_2022_Reduced-unscaled,twitter-wantsToBeInfluencer-1-Balikatan_2022_Reduced,twitter-wantsToBeInfluencer-1-Balikatan_2022_Reduced-unscaled,
25007208,roncerod,0,0,0,0,1.299e-04,1348,0,0,0,0,1.525e-04,1348,4.102e-06,45609.859,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1513182555209707520,Charles78672273,7.221e-05,1,0,0,5.587e-06,58,0.100,0.500,0,0,6.562e-06,58,0,2079.797,5.473e-04,0.140,0.001,2.403,0,0,0,0,0.002,3,
58175014,warrenjrsali,0,0,0,0,2.216e-06,23,0,0,0,0,2.602e-06,23,0,893.660,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1471747524415623169,PengAmy1,0,0,0,0,2.736e-05,284,0,0,0,0,3.213e-05,284,0,1416.220,1.578e-04,0.040,6.657e-04,1.292,0,0,0,0,7.949e-04,1,
783410619508596737,anakrimba151,0,0,0,0,4.788e-05,497,0,0,0,0,5.623e-05,497,1.636e-06,18189.910,1.496e-04,0.038,8.122e-05,0.158,0,0,0,0,7.949e-04,1,
67715492,FraseTweeting,0,0,0,0,8.468e-05,879,0,0,0,0,9.945e-05,879,5.181e-06,57608.039,8.378e-04,0.214,9.940e-04,1.928,0,0,0,0,7.949e-04,1,
2893889912,towy_hrhm,0,0,0,0,1.918e-04,1991,0,0,0,0,2.253e-04,1991,0,9782.193,1.578e-04,0.040,6.657e-04,1.292,0,0,0,0,7.949e-04,1,
1370658055143137285,maybejakurai,0,0,0,0,3.179e-06,33,0,0,0,0,3.734e-06,33,0,1280.185,1.442e-04,0.037,1.623e-04,0.315,0,0,0,0,7.949e-04,1,
2780395189,treda10,7.221e-05,1,0,0,2.052e-05,213,0.200,1,0,0,2.410e-05,213,0,2121.548,1.578e-04,0.040,8.612e-04,1.671,0,0,0,0,7.949e-04,1,
1491966167048921090,clyn62192,0,0,0,0,0,1,0,0,0,0,0,1,0,38.994,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
267681470,bhelle008,0,0,0,0,1.169e-04,1213,0,0,0,0,1.372e-04,1213,3.733e-06,41504.383,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1448970426772717579,Iyodegz,0,0,0,0,7.032e-06,73,0,0,0,0,8.259e-06,73,0,2814.741,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
725475846,Tetsu__tw,2.888e-04,4,0,0,9.778e-05,1015,0.800,4,0,0,1.148e-04,1015,2.915e-06,32415.484,0,0,7.323e-04,1.421,0,0,0,0,0.004,5,
227557590,yourphilarmy,0,0,0,0,0.041,420973,0,0,0.025,32,0,0,0,0,0,0,0,0,2.418e-04,2688016.500,0,0,0,0,
1422115642086281217,GlennFr75587262,0,0,0,0,8.863e-06,92,0,0,0,0,1.041e-05,92,0,3537.505,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1210597665932742657,andresilva394,0,0,0,0,1.936e-05,201,0,0,0,0,2.274e-05,201,0,1003.100,1.578e-04,0.040,6.657e-04,1.292,0,0,0,0,7.949e-04,1,
1495910235198095360,KareninaLaurea1,0,0,0,0,2.620e-05,272,0,0,0,0,3.077e-05,272,0,10213.265,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
237236420,ogim2001,0,0,0,0,5.395e-06,56,0,0,0,0,6.336e-06,56,0,2164.755,1.442e-04,0.037,1.623e-04,0.315,0,0,0,0,7.949e-04,1,
28928078,skycentral,0,0,0,0,4.335e-06,45,0,0,0,0,5.091e-06,45,0,1742.458,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
156888374,todo3110,2.888e-04,4,0,0,2.314e-04,2402,0.800,4,0,0,2.718e-04,2402,6.774e-06,75316.906,0,0,7.323e-04,1.421,0,0,0,0,0.004,5,
1224953028379209728,SMDEI07,2.888e-04,4,0,0,1.682e-04,1746,0.800,4,0,0,1.975e-04,1746,4.962e-06,55172.195,0,0,7.323e-04,1.421,0,0,0,0,0.004,5,
1466086210473193472,CryptoShill111,0,0,0,0,0,8,0,0,0,0,0,8,0,311.590,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1458952158745796608,BumataySlc,0,0,0,0,7.225e-06,75,0,0,0,0,8.486e-06,75,0,75,0,0,1.558e-04,0.302,0,0,0,0,7.949e-04,1,
1436876710205530119,joycebrandes63,0,0,0,0,2.312e-06,24,0,0,0,0,2.715e-06,24,0,932.367,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1191200994463375361,ArerrabNairda,0,0,0,0,2.582e-05,268,0,0,0,0,3.032e-05,268,0,10067.989,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1512752298858098689,Robertcral,0,0,0,0,2.505e-06,26,0,0,0,0,2.942e-06,26,0,129.968,1.578e-04,0.040,6.657e-04,1.292,0,0,0,0,7.949e-04,1,
907239479965925378,angela_luna3,0,0,0,0,2.861e-05,297,0,0,0,0,3.360e-05,297,0,11118.324,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
895918759658926082,cm_padilla8,0,0,0,0,9.344e-06,97,0,0,0,0,1.097e-05,97,0,3727.076,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1457435843778465794,CajunAmerican98,3.610e-04,5,0,0,2.408e-06,25,0.500,2.500,0,0,2.829e-06,25,0,1073.164,8.493e-04,0.217,0.001,2.062,0,0,0,0,0.005,6,
1433232115328372737,LibariosQueen,0,0,0,0,0,9,0,0,0,0,0,9,0,350.482,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1373800754,ScionAi,7.221e-05,1,0,0,2.216e-05,230,0.100,0.500,0,0,2.602e-05,230,1.601e-06,17805.012,0.001,0.326,0.001,2.323,0,0,0,0,0.002,2,
1425412041326485507,Christasusinall,0,0,0,0,0,7,0,0,0,0,0,7,0,272.686,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
1449892605660073985,MaxYan71478652,0,0,0,0,2.312e-06,24,0,0,0,0,2.715e-06,24,0,932.367,1.442e-04,0.037,1.623e-04,0.315,0,0,0,0,7.949e-04,1,
20987478,Jpaguado,0,0,0,0,2.010e-04,2086,0,0,0,0,2.360e-04,2086,6.003e-06,66747.969,6.937e-04,0.178,8.316e-04,1.613,0,0,0,0,7.949e-04,1,
823349574739734528,pnagovph,0,0,0,0,0.006,60379,0,0,0,0,0.007,60294,0,0,6.334e-05,0.016,3.158e-04,0.613,0,85,7.949e-04,1,0,0,
472122299,PhilippineStar,0,0,0,0,0.138,1432322,0,0,0,0,0.162,1432167,0,0,0,0,5.716e-04,1.109,0,155,0.002,2,0,0,
