Node ID,stance,stance-confidence
100095218417471,1,1
100069316865412,0,0
100084064746848,1,1
100067116154494,1,1
100064491981877,1,1
100064850345964,1,1
100064585308440,1,1
109951605715626,-1,1
100067529923175,1,1
100064177924373,1,1
100095218417470,1,1
100064525701206,1,0.975
552770934828449,0,0
100063914041666,1,1
1785995121708149,0,0
100095218417444,0,0
100064826223340,0,0
100043521741886,1,0.99872935
100063722334727,1,1
100063686156757,1,1
100063818612692,0,0
100069218199719,0,0
100064539736279,0,0
100064547297763,1,1
100064412450727,0,0
532050037191077,1,0.989899
608861393124405,1,0.9964455
449812175452668,1,1
100063761933657,1,1
297888414912574,1,1
100063770695966,1,1
1029589560385489,0,0
277013695707235,1,1
100083480131572,1,1
100077353298400,1,1
100045535239237,1,1
100064854483610,0,0
100095218417426,0,0
100069726860401,0,0
100044389810908,0,0
409351382817084,0,0
100063900366980,1,1
100063671276285,1,1
100064777208129,1,1
100064691619353,1,1
100064667226086,0,0
100064381110571,1,1
100064003033390,1,1
100070928298813,0,0
796097294189941,1,0.99242425
100066768009396,1,0.9375
100083301694637,1,1
350904846999918,0,0
100064071844003,1,1
1462560087396359,0,0
600209843992648,1,0.9964539
100080842477160,1,1
100063960642655,1,1
100049433628783,0,0
100064440262217,0,0
161662364425715,1,1
100064858685742,0,0
100064855385803,0,0
100063736252824,1,1
437636060379000,0,0
100064993262034,0,0
100064561067896,0,0
100084142893921,1,1
100064929720418,0,0
100084159632794,1,1
1079139159283697,1,1
100064846534986,-1,0.6666667
100064547207879,-1,1
100095218417446,1,1
100067453725340,1,1
100031943756842,0,0
100064784795694,0,0
100057487747601,0,0
100064531429686,0,0
376657372674236,0,0
100063761432344,0,0
100064659373643,0,0
100071125897669,-1,0.9368421
100064100197638,1,1
100068023241760,0,0
100077434211865,0,0
100095218417410,-1,1
100045445552516,-1,0.9375
2013011305482002,1,1
398945193592040,1,0.7434402
100051938448929,-1,0.95652175
100095218417404,0,0
100063574929099,0,0
100064677698447,0,0
100067235986966,0,0
100044473324679,0,0
100064878274722,0,0
2336242746568420,0,0
919422042137673,0,0
784321465612307,1,1
629830397632159,0,0
3545257709032034,0,0
1780307208908605,1,1
1341761823236150,0,0
1222420264517208,0,0
747913980395067,0,0
3265363183753592,1,1
749677685918414,0,0
702776893222645,0,0
100063983438076,0,0
493146475753685,1,1
1976812112596191,0,0
100064278295620,0,0
100070432353676,0,0
100064809875729,0,0
735068103976058,0,0
977002082351663,0,0
735106260246193,0,0
731401243539801,0,0
1806224336075453,0,0
538556536799405,0,0
200793782088218,0,0
2938587666413749,1,1
1646902678959339,0,0
1300293907090253,0,0
363377494852462,0,0
226275021293680,0,0
161756772792014,0,0
2356464191338221,0,0
100095218417401,0,0
403116618136206,0,0
100095218417402,0,0
282985556659449,1,0.9791667
2033488206770432,0,0
1766131533661637,1,1
782568509043658,0,0
895231633878977,1,1
898174930651488,0,0
