AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength
100064469992941,afp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064624721992,VozDeAmerica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417378,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064921381361,phkule,1,0.056,0.028,1,0.333,0.083,1,0.2,0.05,1,0.519,0.194,0,0,0,1,0.078,0.034,1,0.4,0.325,1,0.178,0.067,0,0,0,0,0,0,1,0.2,2.07E-09,0,0,0,1,0.14,0.11,1,0.125,0.066,0,0,0,0,0,0
100095218417475,,9,0.102,0.063,33,0.384,0.124,19,0.228,0.139,20,0.407,0.208,33,0.249,0.173,9,0.089,0.044,31,0.318,0.302,6,0.2,0.098,32,0.043,0.018,31,0.114,0.041,9,0.326,0.126,0,0,0,32,0.151,0.09,32,0.213,0.128,33,0.2,0.128,9,0.247,0.131
100057601691617,financecoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417461,,0,0,0,21,0.333,0.083,0,0,0,0,0,0,0,0,0,0,0,0,21,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.167,0.042,0,0,0
100066454241810,standardtimedaily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100067470001270,"7th Infantry (Kaugnay) Division, Philippine Army",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417427,,15,0.078,0.094,15,0.667,0.417,0,0,0,15,0.37,0.361,15,0.353,0.309,15,0.157,0.157,15,0.367,0.317,0,0,0,15,0.109,0.04,15,0.21,0.053,15,0.333,0.25,0,0,0,15,0.264,0.13,15,0.421,0.23,15,0.5,0.292,15,0.322,0.206
100066794299871,Gladextravelandtours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064301853697,thepolroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064695606437,brigadanewsfmmanila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064583687882,U.S. Indo-Pacific Command,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064779514127,U.S. Army Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417433,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064688230749,DeptofDefense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064748554373,amstv11,0,0,0,19,0.333,0.083,1,0.2,0.05,1,0.37,0.139,0,0,0,5,0.059,0.059,19,0.326,0.326,0,0,0,0,0,0,0,0,0,5,0.2,0.005,0,0,0,5,0.105,0.082,5,0.125,0.05,19,0.167,0.042,5,0.167,0.023
100039732346840,amscentralkh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417416,,1,0.022,0.044,1,0.333,0.083,1,0.2,0.05,1,0.333,0.139,0,0,0,0,0,0,1,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064992870078,tribunephl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417417,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100066814033799,brigadanewsfmnaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064740066209,25th Infantry Division,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417375,,1,0.033,0.067,1,0.389,0.167,1,0.333,0.2,1,0.333,0.194,1,0.216,0.23,0,0,0,1,0.433,0.358,0,0,0,1,0.027,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.167,0.042,0,0,0
100064322756807,,3,0.044,0.069,4,0.431,0.156,3,0.378,0.233,3,0.333,0.213,3,0.281,0.266,2,0.088,0.066,4,0.392,0.392,3,0.23,0.152,2,0.054,0.034,1,0.231,0.135,3,0.311,0.124,0,0,0,3,0.187,0.152,3,0.146,0.099,1,0.167,0.042,2,0.167,0.036
100063819732625,VozMigranteCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100065657256165,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100076267325329,893bnfmcotabato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417384,,60,0.096,0.07,62,0.499,0.195,12,0.228,0.129,60,0.277,0.127,60,0.294,0.244,59,0.062,0.04,62,0.308,0.303,4,0.189,0.133,58,0.046,0.027,58,0.118,0.073,11,0.236,0.136,0,0,0,58,0.154,0.119,16,0.185,0.113,8,0.167,0.083,16,0.174,0.12
100044310822279,fotobookbelgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100076681819677,1031bnfmmati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100081724125146,,0,0,0,3,0.333,0.083,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.3,0,0,0,1,0.027,0.007,0,0,0,0,0,0,0,0,0,1,0.105,0.066,0,0,0,3,0.167,0.056,0,0,0
100075882527501,,1,0.011,0.028,1,0.333,0.083,0,0,0,1,0.148,0.139,0,0,0,0,0,0,1,0.4,0.325,0,0,0,1,0.054,0.027,0,0,0,1,0.2,0.05,0,0,0,0,0,0,0,0,0,1,0.167,0.042,0,0,0
781170378635478,Defense of the Republic of the Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100069028928005,inquirerdotnet,7,0.157,0.115,7,0.5,0.202,7,0.267,0.186,7,0.529,0.333,6,0.418,0.279,3,0.098,0.074,7,0.471,0.364,4,0.233,0.163,6,0.129,0.101,5,0.292,0.227,3,0.4,0.4,0,0,0,5,0.33,0.264,3,0.417,0.292,5,0.267,0.117,4,0.194,0.156
100063763247008,pilipinasatinto7107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417409,,0,0,0,5,0.333,0.083,0,0,0,0,0,0,1,0.176,0.053,1,0.059,0.009,5,0.32,0.303,0,0,0,0,0,0,0,0,0,1,0.2,0.018,0,0,0,1,0.105,0.035,2,0.156,0.04,5,0.167,0.042,0,0,0
100044509176491,rpctv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064090114839,,1,0.078,0.061,1,0.333,0.083,1,0.2,0.2,1,0.444,0.361,1,0.176,0.147,0,0,0,1,0.3,0.3,0,0,0,1,0.099,0.059,1,0.205,0.154,1,0.2,0.15,0,0,0,1,0.298,0.237,1,0.271,0.193,1,0.167,0.083,0,0,0
100066463665428,BrigadaNewsFMCebu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100069325174986,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100068942658501,3d Marine Littoral Regiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064389804236,"1st Civil Relations Group, CRS AFP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064081988076,Balitang KAWAL muna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417431,,1,0.100,0.058,1,0.556,0.208,1,0.2,0.05,1,0.519,0.194,1,0.333,0.23,1,0.098,0.069,1,0.467,0.392,0,0,0,1,0.054,0.014,1,0.077,0.019,1,0.2,0.2,0,0,0,1,0.14,0.101,1,0.146,0.146,1,0.167,0.042,1,0.139,0.104
100064262006665,omil.coronel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100090213696534,,1,0.122,0.072,1,0.667,0.25,0,0,0,1,0.481,0.25,1,0.392,0.216,1,0.137,0.078,0,0,0,0,0,0,0,0,0,0,0,0,1,0.267,0.2,0,0,0,1,0.123,0.083,1,0.188,0.109,1,0.167,0.042,1,0.167,0.083
100064860451629,89.9brigadazamboanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100078949877906,,1,0.122,0.069,1,0.333,0.083,1,0.2,0.05,1,0.593,0.306,1,0.333,0.196,1,0.059,0.059,1,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
